index_date;exports_(us$_millions)
2020-03-01;17834.9683154669
2020-04-01;17328.3174981358
2020-05-01;16714.6379161641
2020-06-01;17095.8366937319
2020-07-01;17945.7471947337
2020-08-01;16366.0124281538
2020-09-01;17379.2057163884
2020-10-01;17320.2405986216
2020-11-01;17756.3292174743
2020-12-01;18410.6131669552
2021-01-01;17885.0963854107
2021-02-01;19016.0910880309
2021-03-01;23896.5974205533
2021-04-01;25546.1579515496
2021-05-01;24941.1813361623
2021-06-01;27446.8163731086
2021-07-01;23537.8588312914
2021-08-01;25573.5367531202
2021-09-01;23306.1715817233
2021-10-01;22306.054629049
