index_date;exports_(US$ millions)
2000-04;4183.741237
2000-05;5065.528883
2000-06;4863.568081
2000-07;5005.990739
2000-08;5522.393935
2000-09;4727.432602
2000-10;4641.288911
2000-11;4394.431433
2000-12;4662.529566
2001-01;4541.623764
2001-02;4086.790148
2001-03;5173.027536
2001-04;4735.323043
2001-05;5372.620976
2001-06;5047.763762
2001-07;4970.156817
2001-08;5733.053483
2001-09;4759.850802
2001-10;5008.557126
2001-11;4506.283984
2001-12;4351.54158
2002-01;3975.96755
2002-02;3662.989817
2002-03;4266.107599
2002-04;4647.813517
2002-05;4447.740894
2002-06;4084.58476
2002-07;6230.571298
2002-08;5758.053735
2002-09;6497.975108
2002-10;6482.182856
2002-11;5134.789656
2002-12;5249.876245
2003-01;4811.181392
2003-02;5009.028475
2003-03;5246.395514
2003-04;5720.005413
2003-05;6381.488142
2003-06;5882.943168
2003-07;6114.523476
2003-08;6413.605268
2003-09;7291.199616
2003-10;7578.687865
2003-11;5993.129201
2003-12;6761.034545
2004-01;5809.452343
2004-02;5733.238238
2004-03;7944.136093
2004-04;6606.292414
2004-05;7960.023354
2004-06;9347.432832
2004-07;9011.284343
2004-08;9073.756285
2004-09;8939.578126
2004-10;8861.649754
2004-11;8177.309337
2004-12;9213.345647
2005-01;7457.189902
2005-02;7771.87876
2005-03;9270.434926
2005-04;9220.566717
2005-05;9835.725485
2005-06;10224.8325
2005-07;11079.53468
2005-08;11366.26208
2005-09;10654.22262
2005-10;9922.943795
2005-11;10809.25353
2005-12;10916.3399
2006-01;9286.850191
2006-02;8774.460707
2006-03;11396.76558
2006-04;9830.693648
2006-05;10304.88461
2006-06;11463.24754
2006-07;13651.04755
2006-08;13671.69979
2006-09;12576.85684
2006-10;12689.25515
2006-11;11896.87479
2006-12;12264.83314
2007-01;10983.86761
2007-02;10129.50521
2007-03;12888.95594
2007-04;12446.17231
2007-05;13647.28126
2007-06;13118.0833
2007-07;14119.54767
2007-08;15100.02878
2007-09;14165.67512
2007-10;15767.82185
2007-11;14051.33034
2007-12;14230.80344
2008-01;13276.88435
2008-02;12799.91984
2008-03;12612.77454
2008-04;14058.43016
2008-05;19303.36347
2008-06;18593.30748
2008-07;20451.41035
2008-08;19746.86664
2008-09;20017.20751
2008-10;18512.30759
2008-11;14752.57259
2008-12;13817.39841
2009-01;9781.920008
2009-02;9586.405593
2009-03;11809.22543
2009-04;12321.61724
2009-05;11984.5853
2009-06;14467.78466
2009-07;14141.93009
2009-08;13840.85034
2009-09;13863.22193
2009-10;14081.68604
2009-11;12652.89231
2009-12;14462.62386
2010-01;11305.06694
2010-02;12197.2374
2010-03;15727.49915
2010-04;15161.21137
2010-05;17702.50011
2010-06;17093.91155
2010-07;17672.92469
2010-08;19236.25269
2010-09;18832.79042
2010-10;18380.4182
2010-11;17687.33238
2010-12;20918.14044
2011-01;15214.35295
2011-02;16732.47028
2011-03;19285.97695
2011-04;20172.97698
2011-05;23208.65695
2011-06;23689.07879
2011-07;22251.87685
2011-08;26158.50733
2011-09;23285.05803
2011-10;22139.95292
2011-11;21773.46279
2011-12;22127.20395
2012-01;16140.34432
2012-02;18027.79202
2012-03;20910.73222
2012-04;19566.2985
2012-05;23213.92574
2012-06;19352.83449
2012-07;21003.23734
2012-08;22380.91121
2012-09;19998.3829
2012-10;21763.36794
2012-11;20471.89578
2012-12;19748.29109
2013-01;15966.72801
2013-02;15549.46452
2013-03;19320.42561
2013-04;20631.04049
2013-05;21822.41959
2013-06;21134.04144
2013-07;20806.76505
2013-08;21424.02137
2013-09;20850.4612
2013-10;22821.00254
2013-11;20861.3674
2013-12;20845.83749
2014-01;16026.1908
2014-02;15933.83235
2014-03;17627.93434
2014-04;19723.92578
2014-05;20752.08368
2014-06;20466.91625
2014-07;23024.07216
2014-08;20463.30751
2014-09;19616.60485
2014-10;18329.64989
2014-11;15645.63033
2014-12;17490.73691
2015-01;13704.04456
2015-02;12092.23067
2015-03;16978.96863
2015-04;15156.27477
2015-05;16769.18321
2015-06;19628.43841
2015-07;18533.06555
2015-08;15485.35307
2015-09;16148.18304
2015-10;16048.98669
2015-11;13806.36468
2015-12;16783.23132
2016-01;11237.66901
2016-02;13342.87625
2016-03;15991.80984
2016-04;15371.76322
2016-05;17568.72545
2016-06;16738.06698
2016-07;16328.20652
2016-08;16986.46217
2016-09;15800.11962
2016-10;13713.13242
2016-11;16215.92836
2016-12;15940.64097
2017-01;14908.25403
2017-02;15468.68952
2017-03;20073.93757
2017-04;17679.82904
2017-05;19789.99497
2017-06;19779.12142
2017-07;18758.76515
2017-08;19470.94876
2017-09;18659.33552
2017-10;18871.94661
2017-11;16683.10777
2017-12;17595.28811
2018-01;17027.28268
2018-02;17410.05695
2018-03;20228.66325
2018-04;19712.80043
2018-05;19325.06373
2018-06;20114.05453
2018-07;22524.53423
2018-08;21552.69272
2018-09;19187.20396
2018-10;21897.54489
2018-11;20939.07594
2018-12;19345.01938
2019-01;18001.90702
2019-02;15737.375
2019-03;17428.69848
2019-04;19281.73444
2019-05;20592.40919
2019-06;18406.01053
2019-07;20150.88317
2019-08;19669.52525
2019-09;20298.40778
2019-10;19576.83923
2019-11;17736.7152
2019-12;18502.97719
2020-01;14429.71527
2020-02;15356.44952
2020-03;18312.35035
2020-04;17593.79865
2020-05;17519.84109
2020-06;17478.97134
2020-07;19416.00718
2020-08;17403.77549
2020-09;18223.38771
2020-10;17649.3356
2020-11;17344.90054
2020-12;18451.70893
2021-01;14947.52486
2021-02;16373.08865
2021-03;24325.31982
2021-04;26009.47168
2021-05;26182.99987
2021-06;28135.01245
2021-07;25526.91201
2021-08;27274.90962
2021-09;24396.21821
2021-10;22565.73314
