index_date,exports_(us$_millions)_forecast
2021-11-01,22818.048268152183
2021-12-01,22772.872654487757
2022-01-01,19539.863587257754
2022-02-01,20270.839529629953
2022-03-01,24154.713988160107
2022-04-01,24390.437332419384
2022-05-01,25291.90480863368
2022-06-01,25466.14516058588
2022-07-01,25671.695275392558
2022-08-01,25559.118792493573
2022-09-01,24582.631936114827
2022-10-01,24136.98961916705
