Data,exports_(US$ millions),
1999.05,4386.466597,
1999.06,4312.612911,
1999.07,4117.096889,
1999.08,4277.089174,
1999.09,4187.087694,
1999.10,4304.132509,
1999.11,4001.797406,
1999.12,4674.321127,
2000.01,3453.879475,
2000.02,4124.889858,
2000.03,4473.245145,
2000.04,4183.741237,
2000.05,5065.528883,
2000.06,4863.568081,
2000.07,5005.990739,
2000.08,5522.393935,
2000.09,4727.432602,
2000.10,4641.288911,
2000.11,4394.431433,
2000.12,4662.529566,
2001.01,4541.623764,
2001.02,4086.790148,
2001.03,5173.027536,
2001.04,4735.323043,
2001.05,5372.620976,
2001.06,5047.763762,
2001.07,4970.156817,
2001.08,5733.053483,
2001.09,4759.850802,
2001.10,5008.557126,
2001.11,4506.283984,
2001.12,4351.54158,
2002.01,3975.96755,
2002.02,3662.989817,
2002.03,4266.107599,
2002.04,4647.813517,
2002.05,4447.740894,
2002.06,4084.58476,
2002.07,6230.571298,
2002.08,5758.053735,
2002.09,6497.975108,
2002.10,6482.182856,
2002.11,5134.789656,
2002.12,5249.876245,
2003.01,4811.181392,
2003.02,5009.028475,
2003.03,5246.395514,
2003.04,5720.005413,
2003.05,6381.488142,
2003.06,5882.943168,
2003.07,6114.523476,
2003.08,6413.605268,
2003.09,7291.199616,
2003.10,7578.687865,
2003.11,5993.129201,
2003.12,6761.034545,
2004.01,5809.452343,
2004.02,5733.238238,
2004.03,7944.136093,
2004.04,6606.292414,
2004.05,7960.023354,
2004.06,9347.432832,
2004.07,9011.284343,
2004.08,9073.756285,
2004.09,8939.578126,
2004.10,8861.649754,
2004.11,8177.309337,
2004.12,9213.345647,
2005.01,7457.189902,
2005.02,7771.87876,
2005.03,9270.434926,
2005.04,9220.566717,
2005.05,9835.725485,
2005.06,10224.832499,
2005.07,11079.53468,
2005.08,11366.262079,
2005.09,10654.222622,
2005.10,9922.943795,
2005.11,10809.253532,
2005.12,10916.339902,
2006.01,9286.850191,
2006.02,8774.460707,
2006.03,11396.765577,
2006.04,9830.693648,
2006.05,10304.884611,
2006.06,11463.247538,
2006.07,13651.047549,
2006.08,13671.699785,
2006.09,12576.856844,
2006.10,12689.255149,
2006.11,11896.874788,
2006.12,12264.833144,
2007.01,10983.867609,
2007.02,10129.505211,
2007.03,12888.955944,
2007.04,12446.172314,
2007.05,13647.281258,
2007.06,13118.083296,
2007.07,14119.547669,
2007.08,15100.02878,
2007.09,14165.675118,
2007.10,15767.821852,
2007.11,14051.330343,
2007.12,14230.803436,
2008.01,13276.884351,
2008.02,12799.91984,
2008.03,12612.774542,
2008.04,14058.430155,
2008.05,19303.363465,
2008.06,18593.307478,
2008.07,20451.410348,
2008.08,19746.866637,
2008.09,20017.207512,
2008.10,18512.30759,
2008.11,14752.572586,
2008.12,13817.398405,
2009.01,9781.920008,
2009.02,9586.405593,
2009.03,11809.225427,
2009.04,12321.617241,
2009.05,11984.585301,
2009.06,14467.784664,
2009.07,14141.930086,
2009.08,13840.850343,
2009.09,13863.221927,
2009.10,14081.686044,
2009.11,12652.892311,
2009.12,14462.62386,
2010.01,11305.066944,
2010.02,12197.237398,
2010.03,15727.499154,
2010.04,15161.211373,
2010.05,17702.500109,
2010.06,17093.91155,
2010.07,17672.924687,
2010.08,19236.252688,
2010.09,18832.79042,
2010.10,18380.418198,
2010.11,17687.332378,
2010.12,20918.140436,
2011.01,15214.352952,
2011.02,16732.470279,
2011.03,19285.976953,
2011.04,20172.976975,
2011.05,23208.656952,
2011.06,23689.078794,
2011.07,22251.876846,
2011.08,26158.507329,
2011.09,23285.05803,
2011.10,22139.952919,
2011.11,21773.462792,
2011.12,22127.203947,
2012.01,16140.344319,
2012.02,18027.792015,
2012.03,20910.732221,
2012.04,19566.298497,
2012.05,23213.925742,
2012.06,19352.834494,
2012.07,21003.237336,
2012.08,22380.911208,
2012.09,19998.382904,
2012.10,21763.367937,
2012.11,20471.895783,
2012.12,19748.29109,
2013.01,15966.728014,
2013.02,15549.464516,
2013.03,19320.425611,
2013.04,20631.040493,
2013.05,21822.419593,
2013.06,21134.041444,
2013.07,20806.765049,
2013.08,21424.021374,
2013.09,20850.461196,
2013.10,22821.00254,
2013.11,20861.367401,
2013.12,20845.837489,
2014.01,16026.190798,
2014.02,15933.832354,
2014.03,17627.934342,
2014.04,19723.925778,
2014.05,20752.083676,
2014.06,20466.916246,
2014.07,23024.072161,
2014.08,20463.307505,
2014.09,19616.604854,
2014.10,18329.649885,
2014.11,15645.630327,
2014.12,17490.736905,
2015.01,13704.044559,
2015.02,12092.23067,
2015.03,16978.968634,
2015.04,15156.274767,
2015.05,16769.183205,
2015.06,19628.438412,
2015.07,18533.065548,
2015.08,15485.353065,
2015.09,16148.183035,
2015.10,16048.986692,
2015.11,13806.364678,
2015.12,16783.231319,
2016.01,11237.669013,
2016.02,13342.876253,
2016.03,15991.809841,
2016.04,15371.763216,
2016.05,17568.725446,
2016.06,16738.066984,
2016.07,16328.20652,
2016.08,16986.462166,
2016.09,15800.119615,
2016.10,13713.132417,
2016.11,16215.928363,
2016.12,15940.640971,
2017.01,14908.254032,
2017.02,15468.68952,
2017.03,20073.937574,
2017.04,17679.829041,
2017.05,19789.994972,
2017.06,19779.121415,
2017.07,18758.765145,
2017.08,19470.948763,
2017.09,18659.335519,
2017.10,18871.946607,
2017.11,16683.107767,
2017.12,17595.288111,
2018.01,17027.282678,
2018.02,17410.056953,
2018.03,20228.663253,
2018.04,19712.800434,
2018.05,19325.063725,
2018.06,20114.054526,
2018.07,22524.534227,
2018.08,21552.692723,
2018.09,19187.203958,
2018.10,21897.544885,
2018.11,20939.075942,
2018.12,19345.019377,
2019.01,18001.907016,
2019.02,15737.375,
2019.03,17428.69848,
2019.04,19281.734438,
2019.05,20592.409187,
2019.06,18406.010533,
2019.07,20150.883169,
2019.08,19669.525248,
2019.09,20298.407777,
2019.10,19576.839231,
2019.11,17736.715198,
2019.12,18502.977191,
2020.01,14429.715267,
2020.02,15356.44952,
2020.03,18312.350349,
2020.04,17593.79865,
2020.05,17519.84109,
2020.06,17478.971342,
2020.07,19416.007176,
2020.08,17403.775488,
2020.09,18223.387712,
2020.10,17649.335596,
2020.11,17344.900538,
2020.12,18451.708927,
2021.01,14947.524864,
2021.02,16373.08865,
2021.03,24325.319824,
2021.04,26009.471683,
2021.05,26182.999871,
2021.06,28135.012454,
2021.07,25526.912005,
2021.08,27274.909622,
2021.09,24396.21821,
2021.10,22565.733144,
2021.11,20291.164769,
